Code / dataset name,Displayed in tryptych,Stable ID,Workbook aliases (normalized),Status
Adams Park Library,Adams Park Library,adams-park-library,Adams Park Branch,Same
Adamsville (AC) Library,Adamsville (AC) Library,adamsville-ac-library,Adamsville Collier Heights Branch,Same
Alpharetta Library,Alpharetta Library,alpharetta-library,Alpharetta Branch,Same
Animal Services,Animal Services,animal-services,Animal Services Facility,Same
Auburn Ave Research Library,Auburn Ave Research Library,auburn-ave-research-library,Auburn Avenue Research Branch,Same
Aviation Cultural Center,Aviation Cultural Center,aviation-cultural-center,Aviation Culture Center / Aviation Center,Same
Benson Senior Center,Benson Senior Center,benson-senior-center,Dorothy C Benson Senior Multipurpose Complex,Same
Board of Health,Board of Health,board-of-health,Fulton County Board Of Health,Same
Bowden Senior Center,Bowden Senior Center,bowden-senior-center,Hjc Bowden Senior Multi Purpose Facility,Same
Buckhead Library,Buckhead Library,buckhead-library,Buckhead Branch,Same
Cascade (SW) Library,Cascade (SW) Library,cascade-sw-library,Southwest Regional Branch / Cascade Library,Same
Cleveland Ave Library,Cleveland Ave Library,cleveland-ave-library,Cleveland Avenue Branch,Same
College Park Library,College Park Library,college-park-library,College Park Branch,Same
College Park Regional Health,College Park Regional Health,college-park-regional-health,College Park Health Center / College Park Regional Health Center,Same
Dogwood Library,Dogwood Library,dogwood-library,Dogwood Branch,Same
Dogwood Senior Center,Dogwood Senior Center,dogwood-senior-center,(exact / same label),Same
E Roswell Library,E Roswell Library,e-roswell-library,East Roswell Branch,Same
Gladys Dennard Library,Gladys Dennard Library,gladys-dennard-library,Gladys S Dennard Library At South Fulton,Same
Hapeville Library,Hapeville Library,hapeville-library,Hapeville Branch,Same
Juvenile Justice Center,Juvenile Justice Center,juvenile-justice-center,Powell Juvenile Justice Center Mechanicsville Lib / Powell Juvenile Justice Center,Same
Maxwell Rd (Driver Services),Maxwell Rd (Driver Services),maxwell-rd-driver-services,Driver Services / Water Op Center Tax Commissioner,Same
Medical Examiner,Medical Examiner,medical-examiner,Medical Examiners Facility,Same
Metropolitan Library,Metropolitan Library,metropolitan-library,Metropolitan Branch,Same
Mills Senior Center,Mills Senior Center,mills-senior-center,Helene S Mills Senior Multipurpose Facility / Mills Senior,Same
Milton Library,Milton Library,milton-library,Milton Branch,Same
NE Spruill Oaks Library,NE Spruill Oaks Library,ne-spruill-oaks-library,Northeast Spruill Oaks Branch,Same
Neighbor-hood Union Health,Neighbor-hood Union Health,neighborhood-union-health,Neighborhood Union Health Center / Neighbor Hood Union Health,Same
New Beginnings Senior Center,New Beginnings Senior Center,new-beginnings-senior-center,New Beginnings Neighborhood Senior Center,Same
North Fulton Service Center,North Fulton Service Center,north-fulton-service-center,(exact / same label),Same
Northside Library,Northside Library,northside-library,Northside Branch,Same
Northwest Library,Northwest Library,northwest-library,Northwest Branch,Same
Ocee Library,Ocee Library,ocee-library,Ocee Branch,Same
Palmetto Library,Palmetto Library,palmetto-library,Palmetto Branch,Same
Ponce de Leon (JP) Library,Ponce de Leon (JP) Library,ponce-de-leon-jp-library,Ponce De Leon Branch,Same
QLS Senior Center,QLS Senior Center,qls-senior-center,Qls Center For Senior Citizens,Same
Sandy Springs Library,Sandy Springs Library,sandy-springs-library,Sandy Springs Branch,Same
SE Neighborhood Senior Center,SE Neighborhood Senior Center,se-neighborhood-senior-center,Southeast Neighborhood Senior Center,Same
South Fulton Service Center,South Fulton Service Center,south-fulton-service-center,(exact / same label),Same
Southeast Atlanta Library,Southeast Atlanta Library,southeast-atlanta-library,Southeast Atlanta Branch / Southeast Branch,Same
Union City Jail,South Fulton Municipal Regional Jail,union-city-jail,(exact / same label),Display override
Wolf Creek Library,Wolf Creek Library,wolf-creek-library,Wolf Creek Branch,Same
